Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,Avg_Daily_Pedestrian_Count,Weather_Temperature_Avg,Weather_Precipitation_Avg,Weather_Wind_Speed_Avg,Month,Season,Attraction_Score,Tourist_Saturation_Level,Holiday
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-01,64465.0,19.052,0.546,7.937,Janary,Winter,0.592,0.277,1
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-02,71132.0,18.84,0.65,9.659,Janary,Winter,0.582,0.307,1
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-03,70032.0,19.581,0.24,8.615,Janary,Winter,0.564,0.302,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-04,77038.0,20.228,0.01,7.171,Janary,Winter,0.605,0.334,1
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-05,97996.0,20.397,0.004,9.569,Janary,Winter,0.562,0.428,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-06,106262.0,20.104,0.41,11.382,Janary,Winter,0.637,0.465,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-07,94796.0,19.606,0.521,9.135,Janary,Winter,0.584,0.414,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-08,110699.0,19.805,0.142,8.837,Janary,Winter,0.64,0.485,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-09,104936.0,19.861,0.035,14.281,Janary,Winter,0.639,0.459,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-10,69484.0,19.184,0.008,14.768,Janary,Winter,0.601,0.3,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-11,102106.0,19.749,0.042,14.556,Janary,Winter,0.635,0.447,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-12,109924.0,20.664,0.056,13.282,Janary,Winter,0.567,0.482,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-13,118119.0,20.573,0.025,13.06,Janary,Winter,0.587,0.519,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-14,115859.0,20.134,0.006,13.062,Janary,Winter,0.617,0.509,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-15,136492.0,19.776,0.002,10.39,Janary,Winter,0.555,0.601,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-16,111996.0,19.842,0.077,15.627,Janary,Winter,0.621,0.491,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-17,67103.0,19.665,0.113,20.465,Janary,Winter,0.622,0.289,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-18,106705.0,19.501,0.156,23.513,Janary,Winter,0.583,0.467,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-19,117988.0,17.782,0.158,23.617,Janary,Winter,0.591,0.518,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-20,124072.0,16.837,0.044,19.741,Janary,Winter,0.621,0.546,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-21,117208.0,17.933,0.017,17.105,Janary,Winter,0.556,0.515,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-22,138350.0,18.84,0.017,17.597,Janary,Winter,0.623,0.61,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-23,115581.0,19.566,0.029,20.601,Janary,Winter,0.641,0.507,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-24,69179.0,20.16,0.025,20.817,Janary,Winter,0.556,0.298,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-25,118964.0,20.578,0.0,17.678,Janary,Winter,0.641,0.523,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-26,118269.0,20.738,0.004,12.413,Janary,Winter,0.639,0.519,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-27,130071.0,20.103,0.008,18.569,Janary,Winter,0.627,0.573,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-28,115392.0,18.537,0.01,22.701,Janary,Winter,0.606,0.506,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-29,135948.0,18.103,0.006,12.858,Janary,Winter,0.632,0.599,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-30,112925.0,18.624,0.002,8.003,Janary,Winter,0.634,0.495,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-01-31,90898.0,19.385,0.002,7.42,Janary,Winter,0.594,0.396,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-01,67785.0,19.911,0.002,6.727,February,Spring,0.635,0.292,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-02,113729.0,20.032,0.002,8.693,February,Spring,0.558,0.499,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-03,127108.0,20.106,0.027,12.237,February,Spring,0.567,0.559,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-05,133520.0,20.071,0.0,15.273,February,Spring,0.64,0.588,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-06,104934.0,20.057,0.0,13.602,February,Spring,0.607,0.459,1
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-07,82373.0,20.139,0.015,17.431,February,Spring,0.601,0.358,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-08,69532.0,20.508,0.085,22.349,February,Spring,0.573,0.3,1
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-09,114950.0,19.331,0.356,21.04,February,Spring,0.641,0.504,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-10,124194.0,18.347,0.285,18.167,February,Spring,0.598,0.546,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-11,126170.0,18.442,0.0,15.536,February,Spring,0.61,0.555,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-12,147941.0,19.238,0.0,12.926,February,Spring,0.615,0.653,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-13,128953.0,20.418,1.163,20.709,February,Spring,0.585,0.567,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-14,90879.0,20.685,1.635,27.351,February,Spring,0.589,0.396,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-16,31341.0,18.87,0.031,19.29,February,Spring,0.583,0.128,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-17,34474.0,18.302,0.01,11.036,February,Spring,0.585,0.142,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-18,95607.0,18.454,0.0,9.255,February,Spring,0.596,0.417,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-19,108350.0,18.504,0.0,11.191,February,Spring,0.648,0.475,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-20,97449.0,19.159,0.0,12.634,February,Spring,0.627,0.426,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-21,73649.0,20.21,0.01,19.553,February,Spring,0.637,0.318,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Tower,Urban Landmark,-36.8485,174.7633,2021-02-22,114583.0,20.715,0.013,25.532,February,Spring,0.55,0.503,0
