Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,Avg_Daily_Pedestrian_Count,Weather_Temperature_Avg,Weather_Precipitation_Avg,Weather_Wind_Speed_Avg,Month,Season,Attraction_Score,Tourist_Saturation_Level,Holiday
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-01,47847.0,2.267,0.017,10.928,Janary,Winter,0.653,0.047,1
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-02,82252.0,1.4,0.025,10.68,Janary,Winter,0.6,0.114,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-03,82937.0,2.506,0.069,13.524,Janary,Winter,0.638,0.116,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-04,96718.0,3.368,0.113,15.214,Janary,Winter,0.621,0.143,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-05,92164.0,2.09,0.071,10.828,Janary,Winter,0.616,0.134,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-06,124671.0,0.872,0.044,8.335,Janary,Winter,0.652,0.197,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-07,175277.0,0.226,0.027,10.544,Janary,Winter,0.679,0.296,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-08,153582.0,-0.333,0.0,10.724,Janary,Winter,0.636,0.254,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-09,172194.0,1.557,0.0,12.401,Janary,Winter,0.605,0.29,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-10,176388.0,5.848,0.104,19.879,Janary,Winter,0.7,0.298,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-11,208271.0,7.505,0.344,17.274,Janary,Winter,0.607,0.36,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-12,232555.0,8.564,0.381,13.784,Janary,Winter,0.624,0.408,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-13,74113.0,8.649,0.16,16.445,Janary,Winter,0.626,0.099,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-14,76062.0,6.287,0.113,14.729,Janary,Winter,0.611,0.102,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-15,75756.0,6.602,0.133,18.343,Janary,Winter,0.639,0.102,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-16,72861.0,6.458,0.048,19.139,Janary,Winter,0.631,0.096,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-17,55876.0,5.851,0.16,15.911,Janary,Winter,0.614,0.063,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-18,65132.0,8.277,0.448,19.064,Janary,Winter,0.629,0.081,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-19,62513.0,7.53,0.502,16.601,Janary,Winter,0.615,0.076,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-20,67197.0,4.05,0.206,14.649,Janary,Winter,0.684,0.085,0
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-01-21,78135.0,2.394,0.008,15.534,Janary,Winter,0.698,0.106,0
